,n,autodiff_mode,exp_type,error,time,log_error,log_time,exp_and_mode
257,3,for,yield,39.018656089135746,1.380542186,1.5912723070081733,0.1400496821575246,yield_for
258,3,for,yield,192.1440043142972,1.456543185,2.283626837232105,0.16332336553709148,yield_for
259,3,for,yield,141.45940300346425,1.370472186,2.1506318209113635,0.1368702258738416,yield_for
260,3,for,yield,121.48729042518595,1.271425487,2.084530845943181,0.10429091305048371,yield_for
261,3,for,yield,416.5884882571544,1.393569786,2.619707264758461,0.14412872182280023,yield_for
262,3,for,yield,61.72397554172467,1.415154885,1.7904538904991805,0.15080397485654068,yield_for
263,3,for,yield,1016.150079358478,1.529496474,3.006957855412219,0.18454848012808012,yield_for
264,3,for,yield,1864.4824181058489,1.405101476,3.2705582923604455,0.14770768998873535,yield_for
265,3,for,yield,108.16572362544228,1.410539176,2.034089660043364,0.14938515265682314,yield_for
266,3,for,yield,1471.6733535048766,1.531226274,3.1678114265010633,0.18503937246732974,yield_for
267,3,for,yield,1081.3110862815925,1.479834175,3.033950655673463,0.17021305261300476,yield_for
268,3,for,yield,279.06053794341506,1.456964579,2.445698427082975,0.16344899354635553,yield_for
269,3,for,yield,153.06956502879592,1.600003181,2.1848888480855124,0.20412084608678327,yield_for
270,3,for,yield,416.82726899961574,1.366958383,2.619956122932236,0.13575529268883016,yield_for
271,3,for,yield,149.74339107907355,1.543826481,2.1753476639079117,0.18859848603921706,yield_for
272,3,for,yield,111.4439484189091,1.435783283,2.0470564905853896,0.15708889248285968,yield_for
273,3,for,yield,341.6338266614328,1.493700885,2.533560865544721,0.17426363830951078,yield_for
274,3,for,yield,22.33573641059977,1.450757795,1.3490002757596198,0.16159491273054807,yield_for
275,3,for,yield,812.7067223254102,1.342720395,2.909933852046121,0.1279855856017151,yield_for
276,3,for,yield,789.7621169820723,1.433075194,2.8974962978226215,0.15626897859170033,yield_for
277,3,for,yield,15.105246025539437,1.462254695,1.1791278032050652,0.16502302446813064,yield_for
278,3,for,yield,81.96175728721353,1.522341494,1.9136112612464644,0.182512084973392,yield_for
279,3,for,yield,183.0806741716719,1.378776364,2.2626425029932884,0.13949382980382502,yield_for
280,3,for,yield,30.567487612207056,1.545238497,1.485259744876109,0.18899551931901937,yield_for
281,3,for,yield,0.08293947289623037,1.453352792,-1.0812387290272933,0.16237104927483087,yield_for
282,3,for,trap,229.53278418852813,12.950091992,2.360844724624113,1.1122728534733386,trap_for
283,3,for,trap,541.0640218784814,1.577236167,2.7332486564254115,0.19789672715621887,trap_for
284,3,for,trap,571.1840057597067,1.526598674,2.756776037865537,0.18372488081858163,trap_for
285,3,for,trap,329.06544201592635,1.624827672,2.5172822757011235,0.210807306811427,trap_for
286,3,for,trap,132.05364456617863,1.544012573,2.120750391859777,0.1886508325037904,trap_for
287,3,for,trap,600.2148125626115,1.470518575,2.7783067090742137,0.16747051471119523,trap_for
288,3,for,trap,622.2408255239245,1.563087315,2.793958501980177,0.19398323864845038,trap_for
289,3,for,trap,542.0134263088676,1.722215399,2.7340100446557907,0.23608746810885883,trap_for
